parameter	direction	node_id	evaluation_track	scenario	scale	baseline_sd	cumulative_effect_raw	cumulative_effect_standardised	cumulative_effect	cumulative_ci_low_raw	cumulative_ci_high_raw	cumulative_ci_low_standardised	cumulative_ci_high_standardised	ci_width	peak_time	onset_time	onset_ci_low	onset_ci_high	terminal_effect_standardised	significant	effect_sign	paired_seed_sign_consistency	paired	saved_significant	ci_excludes_zero	row	column	code	display_na	display_significance_dot
backfire_threshold	plus	macro_network_largest_component_fraction	primary_discovery	deffuant	macro	0.001600556299678277	0.0002083333333333326	0.13016307728457227	0.13016307728457227	0.0	0.0006249999999999977	0.0	0.3904892318537168	0.3904892318537168	78	-1	78.0	78.0	0.3254076932114307	False	1	0.041666666666666664	True	False	False	3	25	Ma02	False	False
backfire_threshold	plus	macro_opinion_global_mean	primary_discovery	deffuant	macro	0.02981141988976378	-0.0024118094974777174	-0.08090220145152664	-0.08090220145152664	-0.004403918531563413	-0.0006119082893685186	-0.14772588987200733	-0.020525969297377444	0.1271999205746299	56	-1	22.0	61.0	-0.07072141495657952	False	-1	0.6666666666666666	True	False	True	3	26	Ma03	False	False
backfire_threshold	plus	macro_opinion_global_variance	primary_discovery	deffuant	macro	0.05865438030214374	-0.09145259337706697	-1.5591775568332877	-1.5591775568332877	-0.09757010565050654	-0.08530654693162809	-1.6634751769245186	-1.4543934569284034	0.20908171999611525	119	5	4.0	5.0	-1.9751876157697403	True	-1	1.0	True	True	True	3	27	Ma04	False	True
confidence_bound	minus	micro_accepted_count	primary_discovery	deffuant	micro	21.49190901251589	-17.867857142857144	-0.8313759904925956	-0.8313759904925956	-19.04951388888889	-16.91451388888889	-0.88635746027937	-0.7870177506818338	0.09933970959753624	17	0	0.0	0.0	-0.4257093006594912	True	-1	1.0	True	True	True	4	0	Mi01	False	True
confidence_bound	minus	micro_accepted_fraction	primary_discovery	deffuant	micro	0.08954962088548292	-0.07444940476190477	-0.8313759904925954	-0.8313759904925954	-0.07937297453703702	-0.0704771412037037	-0.8863574602793697	-0.7870177506818334	0.09933970959753624	17	0	0.0	0.0	-0.4257093006594909	True	-1	1.0	True	True	True	4	1	Mi02	False	True
confidence_bound	minus	micro_agent_shift_std	primary_discovery	deffuant	micro	0.006435784645178799	0.0005965885155582948	0.09269864491274014	0.09269864491274014	0.00023991396331684743	0.0009621600889820709	0.03727812171225659	0.14950159802237137	0.11222347631011478	15	0	0.0	0.0	0.2662977380767782	False	1	0.625	True	False	True	4	2	Mi03	False	False
confidence_bound	minus	micro_backfire_fraction	primary_discovery	deffuant	micro	0.07480579928965946	0.011577380952380955	0.15476582113041223	0.15476582113041223	0.009089657738095239	0.014046792328042328	0.1215100677274859	0.18777678283539234	0.06626671510790644	91	-1	7.47500000000001	48.0	0.1611038815715927	False	1	1.0	True	False	True	4	3	Mi04	False	False
confidence_bound	minus	micro_edge_rewired_count	primary_discovery	deffuant	micro	3.677555499265583	2.6515873015873015	0.7210189763599298	0.7210189763599298	2.482123015873016	2.835734126984127	0.6749382888629966	0.7710921364886076	0.09615384762561108	23	0	0.0	0.0	0.3568946818782503	True	1	1.0	True	True	True	4	4	Mi05	False	True
confidence_bound	minus	micro_extreme_agent_fraction	primary_discovery	deffuant	micro	0.012188124188530679	0.06546130952380952	5.370909297544753	5.370909297544753	0.05056357473544975	0.08500260416666665	4.148593659968717	6.974215461855581	2.8256218018868644	113	2	1.0	2.0	6.523288888655261	True	1	1.0	True	True	True	4	5	Mi06	False	True
confidence_bound	minus	micro_interaction_distance_std	primary_discovery	deffuant	micro	0.09145138327088546	0.0458241717956428	0.5010768580712264	0.5010768580712264	0.04037825598673422	0.051148539428462425	0.4415270118673981	0.5592976027159353	0.1177705908485372	94	25	11.0	24.0	0.6495670325678005	True	1	1.0	True	True	True	4	6	Mi07	False	True
confidence_bound	minus	micro_mean_abs_agent_shift	primary_discovery	deffuant	micro	0.005179132591381664	0.00031746901518425204	0.061297719180338495	0.061297719180338495	4.223488759085725e-05	0.0005954498311796935	0.00815481875500508	0.11497095713875949	0.10681613838375441	15	0	0.0	0.0	0.20509411256621382	False	1	0.5833333333333334	True	False	True	4	7	Mi08	False	False
