scenario,method,hypothesis_group_id,root_source,edge_source,edge_target,source,target,parameter,direction,manipulation_level,manipulation_success,source_significant,target_significant,propagation_order_supported,primary_class,underlying_class,intervention_scope,root_onset,source_onset,target_onset,intervention_delay,observational_lag,observational_beta,lag_difference,temporal_direction_concordant,lag_concordant,root_effect,source_effect,target_effect,not_applicable_reason
schelling,unrestricted_temporal_search,unrestricted,,s_meso_1,s_micro_relocation,s_meso_1,s_micro_relocation,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,5,0.030588761178657997,,,,,,,no_legal_upstream_micro_manipulation_root
schelling,unrestricted_temporal_search,unrestricted,,s_meso_2,s_macro_2,s_meso_2,s_macro_2,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,4,0.2188058798143347,,,,,,,no_legal_upstream_micro_manipulation_root
schelling,unrestricted_temporal_search,unrestricted,,s_meso_2,s_micro_satisfaction,s_meso_2,s_micro_satisfaction,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,4,0.018739515364788753,,,,,,,no_legal_upstream_micro_manipulation_root
schelling,unrestricted_temporal_search,unrestricted,s_micro_destination_similarity,s_meso_3,s_macro_3,s_meso_3,s_macro_3,destination_preference,minus,micro,True,False,False,False,no_stable_downstream_effect,no_stable_downstream_effect,upstream_mediated,0,-1,-1,,5,0.34008207610486424,,True,,0.4035414664473853,-0.03562188742963241,-0.005068375546329996,
schelling,unrestricted_temporal_search,unrestricted,s_micro_destination_similarity,s_meso_3,s_macro_3,s_meso_3,s_macro_3,destination_preference,plus,micro,False,False,False,False,manipulation_failure,manipulation_failure,upstream_mediated,-1,-1,-1,,5,0.34008207610486424,,True,,-0.07766990309485712,0.0075500827090713325,0.0016713193863848435,
schelling,unrestricted_temporal_search,unrestricted,,s_meso_3,s_micro_destination_similarity,s_meso_3,s_micro_destination_similarity,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,4,0.03147602389349952,,,,,,,no_legal_upstream_micro_manipulation_root
schelling,unrestricted_temporal_search,unrestricted,,s_meso_3,s_micro_satisfaction,s_meso_3,s_micro_satisfaction,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,5,-0.004514552891159534,,,,,,,no_legal_upstream_micro_manipulation_root
schelling,unrestricted_temporal_search,unrestricted,,s_micro_boundary,s_macro_0,s_micro_boundary,s_macro_0,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,1,-0.6468189895382188,,,,,,,no_legal_upstream_micro_manipulation_root
schelling,unrestricted_temporal_search,unrestricted,,s_micro_boundary,s_macro_2,s_micro_boundary,s_macro_2,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,5,0.07694181705910445,,,,,,,no_legal_upstream_micro_manipulation_root
schelling,unrestricted_temporal_search,unrestricted,,s_micro_boundary,s_meso_2,s_micro_boundary,s_meso_2,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,3,0.46123275866315927,,,,,,,no_legal_upstream_micro_manipulation_root
