scenario,method,trajectory_count,repetition,temporal_qualification_rate,stability,lag_support,lag_std,stability_estimable,temporal_qualification_rate_ci_low,temporal_qualification_rate_ci_high,stability_ci_low,stability_ci_high
deffuant,trajectory_vote,4,11,0.39285714285714285,0.7272727272727273,0.45454545454545453,1.394817553737818,True,,,,
deffuant,trajectory_vote,8,0,0.17857142857142858,0.675,0.375,1.3862182289780507,True,,,,
deffuant,trajectory_vote,8,1,0.2857142857142857,0.734375,0.390625,1.6248531842736407,True,,,,
deffuant,trajectory_vote,8,2,0.39285714285714285,0.6136363636363636,0.2840909090909091,1.4409648317382187,True,,,,
deffuant,trajectory_vote,8,3,0.17857142857142858,0.675,0.375,1.7301198180932809,True,,,,
deffuant,trajectory_vote,8,4,0.39285714285714285,0.625,0.3409090909090909,1.1693543828343236,True,,,,
deffuant,trajectory_vote,8,5,0.35714285714285715,0.6625,0.375,1.2345992383253543,True,,,,
deffuant,trajectory_vote,8,6,0.21428571428571427,0.75,0.375,1.7897016810479862,True,,,,
deffuant,trajectory_vote,8,7,0.32142857142857145,0.6527777777777778,0.3333333333333333,1.401819836140004,True,,,,
deffuant,trajectory_vote,8,8,0.35714285714285715,0.675,0.3375,1.3155245903013753,True,,,,
deffuant,trajectory_vote,8,9,0.25,0.6964285714285714,0.4107142857142857,1.511679089995279,True,,,,
deffuant,trajectory_vote,8,10,0.39285714285714285,0.7045454545454546,0.3181818181818182,1.312854455453918,True,,,,
deffuant,trajectory_vote,8,11,0.2857142857142857,0.703125,0.3125,1.799351409300976,True,,,,
deffuant,trajectory_vote,12,0,0.35714285714285715,0.6583333333333332,0.29999999999999993,1.3141855035633956,True,,,,
deffuant,trajectory_vote,12,1,0.35714285714285715,0.6499999999999999,0.27499999999999997,1.4325670238715023,True,,,,
deffuant,trajectory_vote,12,2,0.25,0.7023809523809523,0.36904761904761907,1.2881424734450924,True,,,,
deffuant,trajectory_vote,12,3,0.32142857142857145,0.6851851851851852,0.3148148148148148,1.5547326495231704,True,,,,
deffuant,trajectory_vote,12,4,0.32142857142857145,0.712962962962963,0.25925925925925924,1.5831526202273956,True,,,,
deffuant,trajectory_vote,12,5,0.39285714285714285,0.6515151515151516,0.3181818181818182,1.1728308779160712,True,,,,
deffuant,trajectory_vote,12,6,0.35714285714285715,0.6583333333333333,0.325,1.4656322352046787,True,,,,
deffuant,trajectory_vote,12,7,0.35714285714285715,0.6833333333333333,0.275,1.4913440119050403,True,,,,
